Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity,N' TEF2pr-VC and Cyto-VN in SD Localization,N' TEF2pr-VC and Cyto-VN in SD Intensity,DTT Localization,DTT Intensity (Median),DTT Fold Change,Significance of DTT Intensity (Median) Change,DTT STD,H2O2 Localization,H2O2 Intensity (Median),H2O2 Fold Change,Significance of H2O2 Intensity (Median) Change,H2O2 STD,Starvation Localization,Starvation Intensity (Median),Starvation Fold Change,Significance of Starvation Intensity (Median) Change,Starvation STD,Pup2 DAmP Localization,MA3 Localization,MA3 Intensity (Median),MA3 Fold Change,Significance of MA3 Intensity (Median) Change,MA3 STD,Description;;;;;
"AAR2,""YBL074C"",""cytosol"",""19.25"",""8.30987"",""cytosol,nucleus"",""62.7856"",""nucleus"",""21.5242"",""below threshold"",""71.2867"",""#N/A"",""0"",""cytosol"",""22.44"",""1.16"",""0"",""14.69"",""cytosol"",""23.38"",""1.21"",""0"",""7.31"",""cytosol"",""28.39"",""1.47"",""0"","""",""cytosol"",""cytosol"",""16.5315"",""0.858172"",""0"",""1.96593"",""Component of the U5 snRNP, required for splicing of U3 precursors";" originally described as a splicing factor specifically required for splicing pre-mRNA of the MATa1 cistron""";;;;
"ABZ1,""YNR033W"",""cytosol"",""29.72"",""6.71816"",""cytosol"",""66.4445"",""cytosol"",""26.9464"",""ambiguous"",""83.0868"",""#N/A"","""",""cytosol"",""30.22"",""1.01"",""0"",""13.43"",""cytosol"",""32.73"",""1.1"",""0"",""6.21"",""cytosol"",""37.09"",""1.24"",""0"","""",""cytosol"",""cytosol"",""35.5192"",""1.19498"",""0"",""5.05624"",""Para-aminobenzoate (PABA) synthase, has similarity to Escherichia coli PABA synthase components PabA and PabB""";;;;;
"ACB1,""YGR037C"",""cytosol"",""184.47"",""55.6389"",""cytosol"",""350.5"",""cytosol"",""158.882"",""cytosol"",""723.011"",""cytosol"",""80.2921"",""cytosol"",""344.96"",""1.87"",""1"",""194.72"",""cytosol"",""218.62"",""1.18"",""0"",""60.38"",""cytosol"",""276.1"",""1.49"",""1"","""",""cytosol"",""cytosol"",""150.448"",""0.815554"",""0"",""28.0468"",""Acyl-CoA-binding protein, transports newly synthesized acyl-CoA esters from fatty acid synthetase (Fas1p-Fas2p) to acyl-CoA-consuming processes""";;;;;
"ACC1,""YNR016C"",""punctate, cytosol"",""348.88"",""113.12"",""cytosol,punctate"",""231.971"",""cytosol,punctate"",""135.351"",""cytosol"",""192.195"",""cytosol"",""58.8492"",""punctate"","""","""",""0"","""",""punctate, cytosol"",""288.85"",""0.82"",""0"",""56.62"",""punctate, cytosol"",""216.69"",""0.62"",""0"","""",""punctate"",""punctate, cytosol"",""303.423"",""0.869701"",""0"",""51.6285"",""Acetyl-CoA carboxylase, biotin containing enzyme that catalyzes the carboxylation of acetyl-CoA to form malonyl-CoA";" required for de novo biosynthesis of long-chain fatty acids""";;;;
"ACF2,""YLR144C"",""cytosol"",""29.93"",""6.98271"",""cytosol"",""89.9908"",""cytosol"",""29.3197"",""nucleus"",""94.7346"",""#N/A"","""",""cytosol"",""29.68"",""0.99"",""0"",""9.08"",""cytosol"",""29.55"",""0.98"",""0"",""5.84"",""cytosol"",""27.11"",""0.9"",""0"","""",""cytosol"",""cytosol"",""29.5605"",""0.987273"",""0"",""6.37801"",""Intracellular beta-1,3-endoglucanase, expression is induced during sporulation";" may have a role in cortical actin cytoskeleton assembly""";;;;
"ACF4,""YJR083C"",""cytosol"",""31.1"",""6.85691"",""cytosol,bud neck"",""69.9763"",""cytosol"",""18.7679"",""below threshold"",""98.5837"",""cytosol"",""47.9584"",""cytosol"",""28.47"",""0.91"",""0"",""7.53"",""cytosol"",""25.21"",""0.81"",""0"",""5.46"",""cytosol"",""26.79"",""0.86"",""0"","""",""cytosol"",""cytosol"",""41.1171"",""1.32185"",""0"",""9.56979"",""Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization";" potential Cdc28p substrate""";;;;
"ADD66,""YKL206C"",""cytosol"",""31.29"",""7.70865"",""cytosol"",""106.559"",""cytosol"",""37.1628"",""cytosol"",""149.837"",""cytosol"",""40.7042"",""cytosol"",""42.15"",""1.34"",""1"",""12.43"",""cytosol"",""38.5"",""1.23"",""0"",""6.17"",""cytosol"",""30.37"",""0.97"",""0"","""",""cytosol"",""cytosol"",""29.5738"",""0.94495"",""0"",""5.131"",""Protein involved in 20S proteasome assembly"; forms a heterodimer with Pba1p that binds to proteasome precursors;" similar to human PAC2 constituent of the PAC1-PAC2 complex involved in proteasome assembly""";;;
"ADE1,""YAR015W"",""cytosol"",""118.59"",""35.6764"",""cytosol"",""192.384"",""cytosol"",""363.907"",""cytosol"",""289.554"",""#N/A"",""0"",""cytosol"",""108.5"",""0.91"",""0"",""44.04"",""cytosol"",""146.2"",""1.23"",""0"",""26.71"",""nucleus"","""","""","""","""",""cytosol"",""cytosol"",""124.493"",""1.04973"",""0"",""21.0477"",""N-succinyl-5-aminoimidazole-4-carboxamide ribotide (SAICAR) synthetase, required for 'de novo' purine nucleotide biosynthesis";" red pigment accumulates in mutant cells deprived of adenine""";;;;
"ADE16,""YLR028C"",""cytosol"",""94.01"",""24.3281"",""cytosol"",""179.426"",""cytosol"",""88.731"",""cytosol"",""308.335"",""cytosol"",""73.988"",""cytosol"",""144.3"",""1.53"",""1"",""52.23"",""cytosol"",""113.38"",""1.2"",""0"",""17.65"",""cytosol"",""140.02"",""1.48"",""1"","""",""cytosol"",""cytosol"",""97.6645"",""1.03882"",""0"",""12.5207"",""Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade17p";" ade16 ade17 mutants require adenine and histidine""";;;;
"ADE17,""YMR120C"",""cytosol"",""469.55"",""170.106"",""cytosol"",""179.056"",""cytosol"",""436.338"",""cytosol"",""300.012"",""cytosol"",""90.8018"",""cytosol"",""549.16"",""1.16"",""0"",""302.19"",""cytosol"",""447.99"",""0.95"",""0"",""120.38"",""cytosol"",""617.99"",""1.31"",""0"","""",""punctate"",""cytosol"",""503.104"",""1.07145"",""0"",""202.602"",""Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p";" ade16 ade17 mutants require adenine and histidine""";;;;
